,lambda/nm,mua(Ni)//cm,mua(Cu)//cm
58,864.0,1.4628092837281876,6.459234728717829
59,862.0,1.4970026723591492,6.487855861423743
60,860.0,1.5298720745616394,6.515233598179443
61,858.0,1.5572728371682678,6.537695315761601
62,856.0,1.5985581878856512,6.566224345063797
63,854.0,1.6410984474787165,6.593095513099037
64,852.0,1.6856995207300112,6.619321957308239
65,850.0,1.7318663518445419,6.644892164765938
66,848.0,1.7817863966606529,6.670024881055968
67,846.0,1.8344004660355668,6.693154348315093
68,844.0,1.8907562361865962,6.716456509456192
69,842.0,1.9506234486044411,6.739125459696719
70,840.0,2.014082693767357,6.760896401750979
71,838.0,2.079510649184783,6.781838413171759
72,836.0,2.149152335322388,6.801939981033597
73,834.0,2.221856459633675,6.821132027783702
74,832.0,2.298359849348402,6.839829018738813
75,830.0,2.3769816173486835,6.85677604502325
76,828.0,2.4599782970256543,6.872698420941304
77,826.0,2.5455768978577082,6.887446478461932
78,824.0,2.634732992658437,6.900456084237347
79,822.0,2.7265715990925043,6.911830854596738
80,820.0,2.8225778845448914,6.9220773582605615
81,818.0,2.9206680095064383,6.931045927197773
82,816.0,3.0226840420515386,6.938206966836984
83,814.0,3.1273019957517234,6.942835162873904
84,812.0,3.2349939005510553,6.945851549345726
85,810.0,3.3451495713998907,6.9475209235381445
86,808.0,3.4616258383289935,6.947774207898375
87,806.0,3.5824309652329265,6.946427195618973
88,804.0,3.703305169689649,6.94190261591124
89,802.0,3.827023066736219,6.935305709619811
90,800.0,3.953964582912981,6.9269588386577094
91,798.0,4.083116580779017,6.916424511857262
92,796.0,4.217322752924176,6.903967526504164
93,794.0,4.353209812187219,6.889495779194696
94,792.0,4.491929051114645,6.872502701208399
95,790.0,4.632789694178556,6.853402757862014
96,788.0,4.778232481577525,6.831896613093449
97,786.0,4.924262428175207,6.808387219293979
98,784.0,5.0739880238471455,6.781930516575478
99,782.0,5.227086906680319,6.753228793391308
100,780.0,5.382166012693468,6.722961312343902
101,778.0,5.538960544600897,6.690103423066876
102,776.0,5.700210578663271,6.654655125560233
103,774.0,5.86272703452679,6.617111475618965
104,772.0,6.026625041446108,6.576643542609595
105,770.0,6.192307551812494,6.534137821792925
106,768.0,6.3599472595079245,6.489271951255934
107,766.0,6.527218553588477,6.4430590684395455
108,764.0,6.6973220273334135,6.394370906648186
109,762.0,6.868242918786361,6.341515065838507
110,760.0,7.0381852115747865,6.2872085964202435
111,758.0,7.207287060804268,6.231543601797112
112,756.0,7.377240866518159,6.172033290068681
113,754.0,7.544120721132903,6.110427625905626
114,752.0,7.707017103536766,6.047164100475613
115,750.0,7.86652868585393,5.981770683834584
116,748.0,8.02279362318997,5.913786858963933
117,746.0,8.172001137215984,5.844179711602724
118,744.0,8.315590343615092,5.772154849893871
119,742.0,8.452306333511615,5.697804377241092
120,740.0,8.57951264697407,5.622337150818213
121,738.0,8.696875409163978,5.544878188289893
122,736.0,8.804947240503653,5.4650821018921825
123,734.0,8.90086142255232,5.383996567842398
124,732.0,8.984019283185798,5.301794280022511
125,730.0,9.054466874105952,5.217680846575439
126,728.0,9.11119105787186,5.132105271594314
127,726.0,9.153950063048761,5.045631688426923
128,724.0,9.18313532910246,4.957718989576411
129,722.0,9.197963977101342,4.867400089303719
130,720.0,9.199264937678883,4.7764364652049895
131,718.0,9.187337546897174,4.684782065578362
132,716.0,9.163379149004571,4.592172093138141
133,714.0,9.127988416125254,4.498387802300494
134,712.0,9.083479446277678,4.404741666568426
135,710.0,9.03034729525684,4.310278113128344
136,708.0,8.969489971249008,4.215710943359079
137,706.0,8.902231460682652,4.120337868807265
138,704.0,8.830402318706701,4.024320070429414
139,702.0,8.754670294998128,3.9277841904056388
140,700.0,8.677499155606432,3.8328025553196343
141,698.0,8.59860107739499,3.7371301447057315
142,696.0,8.520462852264238,3.6416879926011285
143,694.0,8.443775255742072,3.5472474650119774
144,692.0,8.368826110965117,3.453900665341999
145,690.0,8.294821026076287,3.359448624827383
146,688.0,8.223083987504056,3.263592007406041
147,686.0,8.15663138172025,3.169347199549795
148,684.0,8.096752656376939,3.076783278811434
149,682.0,8.043378733921335,2.9838394315327292
150,680.0,7.998685557266322,2.893336324452599
151,678.0,7.963363901939793,2.8028332173724677
152,676.0,7.938726241444757,2.7141261266648713
153,674.0,7.92546335130911,2.6261328373361046
154,672.0,7.923563718607391,2.5403385167711456
155,670.0,7.932670442650182,2.454267885995029
156,668.0,7.950849351959372,2.371317258019918
157,666.0,7.976903102286598,2.28964456477142
158,664.0,8.00750445817249,2.2088583667837236
159,662.0,8.038105814058381,2.1288205089512506
160,660.0,8.060935945255418,2.0519602185471095
161,658.0,8.067613442025099,1.9763318111677197
162,656.0,8.048191136765693,1.9023842909062159
163,654.0,7.996279355844143,1.8301521965389926
164,652.0,7.911072194477899,1.7607062301342922
165,650.0,7.792903527505445,1.6926303018599234
166,648.0,7.650949156522362,1.6267303164984337
167,646.0,7.492335582391467,1.5627760155405241
168,644.0,7.322347237901181,1.500583192178755
169,642.0,7.143194604740779,1.4392423253013933
170,640.0,6.961900567443893,1.381032974150504
171,638.0,6.769462018296915,1.3231344719871687
172,636.0,6.571485752001287,1.2676536841714772
173,634.0,6.36401132219706,1.2138652963991363
174,632.0,6.154222794374371,1.163242963129662
175,630.0,5.935465697614473,1.1130926598042516
176,628.0,5.71783686755014,1.0655903293357847
177,626.0,5.4982278143058325,1.0195961921032286
178,624.0,5.280207544775691,0.9753289936904181
179,622.0,5.064294140605639,0.9328347857992128
180,620.0,4.857049969310711,0.8930000636904158
181,618.0,4.649897901419501,0.8536949361530075
182,616.0,4.451794992943759,0.817175936578122
183,614.0,4.257606479126106,0.7821190785372876
184,612.0,4.072616792754964,0.7495950640987468
185,610.0,3.8904823118991354,0.7180266224737983
186,608.0,3.7174545550860976,0.6884614298797549
187,606.0,3.551334553552042,0.6602087107887179
188,604.0,3.394206146806128,0.6337520080702164
189,602.0,3.2424312504014257,0.6087344210348359
190,600.0,3.10135186175368,0.5853977211173415
191,598.0,2.95669195328633,0.5612090647154387
192,596.0,2.807196616123691,0.5356849089595997
193,594.0,2.6591749334205694,0.5101607532037609
194,592.0,2.5198339965180345,0.4864211008949922
195,590.0,2.3823005889135,0.4631880173066822
196,588.0,2.255255456407553,0.44139404940149357
197,586.0,2.1329766750441044,0.420371447502458
198,584.0,2.0139215128108474,0.4006958578828241
199,582.0,1.8972380132233742,0.38145775943085874
200,580.0,1.7903865519829854,0.3637508800657343
201,578.0,1.687288304444177,0.34633182383723443
202,576.0,1.5917540489358544,0.32913151319256895
203,574.0,1.4992246669738885,0.3129213141378908
204,572.0,1.4152724144833253,0.29908277772899655
205,570.0,1.3343710872409793,0.28507154743812785
206,568.0,1.27041678628307,0.28496793110894314
207,566.0,1.1898263080282785,0.26094045566355023
208,564.0,1.1239838872941135,0.24740125531674528
209,562.0,1.0648880408824213,0.2370511353237371
210,560.0,0.978092095802011,0.21774395931898205
211,558.0,0.9209534467193637,0.20596623656831745
212,556.0,0.8737619652384505,0.19599604311565316
213,554.0,0.8300473872479587,0.18633669865054314
214,552.0,0.7914560610893785,0.1783697542287838
215,550.0,0.7542577989120596,0.16967749550273126
216,548.0,0.7222518661194424,0.16194080959027132
217,546.0,0.6916505102335516,0.15393932639211697
218,544.0,0.6648599326765657,0.1467552609019755
219,542.0,0.6382650748524845,0.13865016137463645
220,540.0,0.6138231340903527,0.13170786731925943
221,538.0,0.5902792015144888,0.12428203039435362
222,536.0,0.5670806567025736,0.11735124926444157
223,534.0,0.5427077934932317,0.1108119076003384
224,532.0,0.5197625330415461,0.10520511289889797
225,530.0,0.49490612696267533,0.09946016309187783
226,528.0,0.46846093716963866,0.09284023094951988
227,526.0,0.4437657120472774,0.08830413831632163
228,524.0,0.41684849231017707,0.08295062797511046
229,522.0,0.38890662220669436,0.07618102780170807
230,520.0,0.36206999294784875,0.07185216782687917
231,518.0,0.3369257637323539,0.0664410928583432
232,516.0,0.31279467195777627,0.06128330225003655
233,514.0,0.2893428427856318,0.05721923956090207
234,512.0,0.2711524205509788,0.053592668039436415
235,510.0,0.25672672494337134,0.0507374625241239
236,508.0,0.24254280077052778,0.046800042015103974
237,506.0,0.2340577747028448,0.043956349425256364
238,504.0,0.23089172019997792,0.04234453986016051
239,502.0,0.23006278956650011,0.03932815338833833
240,500.0,0.23528965772759655,0.03869494248776498
